bom_for_sku,product_name,version,dangling_material,qty,cat_snapshot
6955631315396,-单麦,v1,3.QT.212,1.0000,
6955631315402,-双麦,v1,2.LJ.588,2.0000,
6955631315402,-双麦,v1,3.GS.28,1.0000,
6955631315402,-双麦,v1,3.QT.209,1.0000,
6955631315402,-双麦,v1,3.QT.210,2.0000,
6955631315402,-双麦,v1,3.QT.211,2.0000,
6955631315402,-双麦,v1,3.QT.212,1.0000,
6955631315563,-MM,v1,2.LJ.591,1.0000,
6955631315563,-MM,v1,3.JD.194,1.0000,
6955631315624,-爱心发声款,v1,2.LJ.598,1.0000,
6955631315624,-爱心发声款,v1,3.BZ.210,1.0000,
6955631315655,-MM单唛,v1,2.LJ.592,1.0000,
6955631315655,-MM单唛,v1,3.JD.195,1.0000,
6955631315655,-MM单唛,v1,3.JD.196,1.0000,
6955631315662,-MM双唛,v1,2.LJ.593,1.0000,
6955631315662,-MM双唛,v1,3.JD.195,1.0000,
6955631315662,-MM双唛,v1,3.JD.196,1.0000,
6955631315709,-KU,v1,2.LJ.597,1.0000,
6955631315709,-KU,v1,3.BZ.123,1.0000,
6955631315709,-KU,v1,3.YSTZ.18,1.0000,
6955631315747,A2112 亿觅小蓓蕾充电台灯--KT,v1,2.LJ.599,1.0000,
6955631315747,A2112 亿觅小蓓蕾充电台灯--KT,v1,3.JD.197,1.0000,
6955631315938,-MM(单唛),v1,2.LJ.600,1.0000,
6955631315938,-MM(单唛),v1,3.JD.198,1.0000,
6955631315938,-MM(单唛),v1,3.JD.199,1.0000,
6955631315938,-MM(单唛),v1,3.QT.214,1.0000,
6955631315945,-MM(双唛),v1,2.LJ.601,1.0000,
6955631315945,-MM(双唛),v1,3.JD.198,1.0000,
6955631315945,-MM(双唛),v1,3.JD.199,1.0000,
6955631315945,-MM(双唛),v1,3.QT.214,1.0000,
6955631315952,,v1,2.LJ.602,1.0000,
6955631315952,,v1,3.BZ.416,1.0000,
6955631315952,,v1,3.JD.200,1.0000,
6955631315952,,v1,3.QT.140,1.0000,
6955631315969,-Hello Kitty,v1,2.LJ.603,1.0000,
6955631315976,-Kitty,v1,2.LJ.604,1.0000,
6955631315976,-Kitty,v1,3.BZ.418,1.0000,
6955631315976,-Kitty,v1,3.JD.201,1.0000,
6955631315976,-Kitty,v1,3.JD.202,1.0000,
6955631315983,-Kitty,v1,2.LJ.604,1.0000,
6955631315983,-Kitty,v1,2.LJ.605,1.0000,
6955631315983,-Kitty,v1,3.BZ.419,1.0000,
6955631315983,-Kitty,v1,3.JD.201,1.0000,
6955631315983,-Kitty,v1,3.JD.202,1.0000,
6955631315983,-Kitty,v1,3.JD.203,1.0000,
6955631315983,-Kitty,v1,3.RBD.05,1.0000,
6955631316003,,v1,2.LJ.606,1.0000,
6955631316003,,v1,3.JD.204,1.0000,
6955631316010,,v1,2.LJ.607,1.0000,
6955631316027,大耳狗,v1,2.LJ.608,1.0000,
6955631316027,大耳狗,v1,3.BZ.420,1.0000,
6955631316034,黄色,v1,3.SMS.17,1.0000,
6955631316041,蓝色,v1,3.QT.218,1.0000,
6955631316041,蓝色,v1,3.SMS.18,1.0000,
6955631316072,-单唛KU,v1,2.LJ.609,1.0000,
6955631316072,-单唛KU,v1,3.JD.205,1.0000,
6955631316072,-单唛KU,v1,3.JD.206,1.0000,
6955631316072,-单唛KU,v1,3.QT.219,1.0000,
6955631316089,-双唛KU,v1,2.LJ.610,1.0000,
6955631316089,-双唛KU,v1,3.JD.205,1.0000,
6955631316089,-双唛KU,v1,3.JD.206,2.0000,
6955631316089,-双唛KU,v1,3.QT.219,1.0000,
6955631316096,KT单唛,v1,2.LJ.611,1.0000,
6955631316096,KT单唛,v1,3.JD.210,1.0000,
6955631316096,KT单唛,v1,3.JD.211,1.0000,
6955631316096,KT单唛,v1,3.JD.212,1.0000,
6955631316102,KT双唛,v1,2.LJ.612,1.0000,
6955631316102,KT双唛,v1,3.JD.210,1.0000,
6955631316102,KT双唛,v1,3.JD.211,1.0000,
6955631316102,KT双唛,v1,3.JD.212,1.0000,
6955631316119,KU单唛,v1,2.LJ.613,1.0000,
6955631316119,KU单唛,v1,3.JD.213,1.0000,
6955631316119,KU单唛,v1,3.JD.214,1.0000,
6955631316119,KU单唛,v1,3.JD.215,1.0000,
6955631316126,KU双唛,v1,2.LJ.614,1.0000,
6955631316126,KU双唛,v1,3.JD.213,1.0000,
6955631316126,KU双唛,v1,3.JD.214,1.0000,
6955631316126,KU双唛,v1,3.JD.215,1.0000,
6955631316133,,v1,2.LJ.615,1.0000,
6955631316133,,v1,3.JD.216,1.0000,
6955631316140,,v1,2.LJ.616,1.0000,
6955631316140,,v1,3.JD.218,1.0000,
6955631316140,,v1,3.QT.220,1.0000,
6955631316157,,v1,2.LJ.617,1.0000,
6955631316157,,v1,3.JD.217,1.0000,
6955631316157,,v1,3.QT.221,1.0000,
6955631316171,KT,v1,2.LJ.607,1.0000,
6955631316171,KT,v1,3.BZ.421,1.0000,
6955631316171,KT,v1,3.GS.31,1.0000,
6955631316171,KT,v1,3.GS.32,1.0000,
6955631316171,KT,v1,3.JD.219,1.0000,
6955631316171,KT,v1,3.JD.220,1.0000,
6955631316171,KT,v1,3.JD.221,1.0000,
6955631316171,KT,v1,3.QT.222,1.0000,
6955631316188,Kitty,v1,2.LJ.618,1.0000,
6955631316188,Kitty,v1,3.BZ.422,1.0000,
6955631316256,-Kitty,v1,BP-LJ-049,1.0000,
6955631316256,-Kitty,v1,YL-GZ-027,1.0000,
EM20250714,,v1,3.GS.29,1.0000,
EM20250714,,v1,3.QT.216,1.0000,
EM20250714,,v1,3.QT.217,1.0000,
EM20250714,,v1,3.SNH.04,1.0000,
EM20250716,翻转相机广角镜头,v1,3.QT.215,1.0000,
EMIE20220620001,,v1,3.QT.168,1.0000,
EMIE2025101301,福气满满铭牌,v1,3.JD.207,1.0000,
EMIE2025101302,平安喜乐铭牌,v1,3.JD.208,1.0000,
EMIE2025101303,红双喜铭牌,v1,3.JD.209,1.0000,
